"Data from Brooks, J. R., et al. (2014). ""Stable Isotope estimates of lake water evaporation:inflow and residence time for lakes across the United States as a tool for national lake water quality assessments."" Limnology and Oceanography 59(6): 2150-2165.",,,,,,,,,,,
SITE_ID,VISIT_NO,DATE_COL,E_I,RT,LON_DD,LAT_DD,LAKEAREA (km2),DEPTHMAX (m),Lake_Vol (m3),ELEV_PT (m),BASINAREA_KM2
NLA06608-0254,1,6/21/2007,0.456,1.06,-99.09494995,47.96678307,0.964719807,4,1266206.106,441.38,18.63
NLA06608-0255,1,8/7/2007,0.547,1.13,-85.31930179,35.94835771,0.275797198,5.2,409220.8453,565.35,0.96
NLA06608-0257,1,7/18/2007,0.053,1.3,-115.2253416,48.54139505,101.2762131,48.8,1364715333,750,23307.11
NLA06608-0259,1,6/14/2007,0.334,0.34,-98.99123974,46.37421211,0.103893516,1.7,61777.55646,593.82,158.58
NLA06608-0260,1,8/30/2007,0.074,3.83,-106.6907196,36.67343618,19.18981332,48,307718196.3,2181,179.03
NLA06608-0268,1,9/10/2007,0.204,0.49,-96.32121976,35.50848975,2.857856053,7.8,6001046.392,236.95,52.79
NLA06608-0271,1,6/27/2007,0.142,0.11,-83.87906608,40.47787067,20.10568777,2,9663556.099,303.7,338.29
NLA06608-0275,1,6/21/2007,0.497,0.81,-99.38087643,46.27199075,0.562026163,2.7,506449.6168,599.68,144.92
NLA06608-0276,1,8/7/2007,0.152,2.83,-105.0043919,38.77637097,0.4033013,13.7,2172911.641,3323.93,2.84
NLA06608-0277,1,7/20/2007,0.102,0.47,-113.4006122,42.6781739,33.95548853,8.1,92392123.38,1278.65,42146.05
NLA06608-0279,1,8/8/2007,0.653,0.52,-93.8978566,44.19244227,1.86683289,2.6,938705.5187,300.84,12.18
NLA06608-0280,1,7/25/2007,0.19,0.15,-95.89426355,32.08989492,0.053611843,2.5,42278.72009,116.46,1.10
NLA06608-0281,1,6/20/2007,0.093,0.13,-80.57559837,35.49457482,0.950283888,4.2,1041782.344,196.08,48.65
NLA06608-0283,1,7/9/2007,0.135,0.39,-87.85257456,32.51233098,47.31475925,18.1,125474064.4,22.28,39867.00
NLA06608-0284,1,7/30/2007,0.11,0.05,-98.73027981,34.9138437,0.165062926,1.3,61201.45078,466.76,34.85
NLA06608-0285,1,7/24/2007,0.032,0.01,-75.56227311,38.55948746,0.344588,1.7,44940.62476,1.55,206.83
