state,name,county,storet_code,source
VIRGINIA,OCCOQUAN RESERVOIR,FAIRFAX,5108,475
VIRGINIA,RIVANNA RESERVOIR,ALHERMARLE,5113,475
VIRGINIA,SMITH MOUNTAIN RESERVOIR,BEDFORD FRANKLIN PITTSYLVANIA,5110,475
WEST VIRGINIA,BLUESTONE RESERVOIR,GILES VA MERCER MONROE SUMMERS WV,5401,475
WEST VIRGINIA,LAKE LYNN,MONONGALIA,5402,475
WEST VIRGINIA,SUMMERSVILLE RESERVOIR,NICHOLAS,5403,475
WEST VIRGINIA,TYGART RESERVOIR,BARBOUR TAYLOR,5404,475
ARKANSAS,BEAVER RESERVOIR,BENTON CARROLL o IASHINGTON,501,476
ARKANSAS,BULL SHOALS RESERVOIR,BAXTER BOONE MARION AR! TANEY OZARK MO,504,476
ARKANSAS,TABLE ROCK RESERVOIR,"BOONE CARROLL AR, BARRY TANEY MO",515,476
MISSOURI,LAKE TANEYCOMO,TANEY,2904,476
ARKANSAS,BLACKFISH LAKE,CRITTENDEN ST FRANCIS,502,476
ARKANSAS,BLUE MOUNTAIN LAKE,LOGAN YELL,503,476
ARKANSAS,LAKE CATHERINE,GARLAND HOT SPRING,505,476
ARKANSAS,HAMILTON LAKE,GARLAND,510,476
ARKANSAS,OUACHITA LAKE,GARLAND MONTGOMERY,514,476
ARKANSAS,CHICOT LAKE,CHICOT,506,476
ARKANSAS,DEGRAY RESERVOIR,CLARK HOT SPRING,507,476
ARKANSAS,LAKE ERLING,LAFAYETTE,508,476
ARKANSAS,GREERƒ??S FERRY RESERVOIR,VAN DUREN CLERURNE,516,476
ARKANSAS,GRAND LAKE,CHICOT,509,476
ARKANSAS,MILLWOOD RESERVOIR,HEMPSTEAD HOUARD LITTLE RIVER SEVIER,511,476
ARKANSAS,NIMROD LAKE,PERRY YELL,512,476
ARKANSAS,NORFOLK LAKE,NA,513,476
IOWA,LAKE AHQUABI,MARREN,1901,476
IOWA,BIG CREEK RESERVOIR,POLK,1902,476
IOWA,BLACK HAWK LAKE,SAC,1903,476
IOWA,CLEAR LAKE,CERRO GORDO,1904,476
IOWA,LOST ISLAND LAKE,CLAYoPALO ALTO,1906,476
IOWA,LAKE MACBRIDE,JOHNSON,1907,476
IOWA,PRAIRIE ROSE LAKE,SHELRY,1908,476
IOWA,RATHBUN RESERVOIR,APPANOOSELUCASM0NR0EHAYNE,1909,476
IOWA,RED ROCK RESERVOIR,MARION,1910,476
IOWA,ROCK CREEK LAKE,NA,1911,476
IOWA,SILVER LAKE,HORTH,1912,476
IOWA,SPIRIT LAKE,DICKINSON,1913,476
IOWA,VIKING LAKE,MONTGOMERY,1914,476
IOWA,WEST OKOBOJI LAKE,DICKINSON,1915,476
KANSAS,CEDAR BLUFF RESERVOIR,TREGO,2001,476
KANSAS,COUNCIL GROVE RESERVOIR,MORRIS,2002,476
KANSAS,ELK CITY RESERVOIR,MONTGOMERY,2003,476
KANSAS,FALL RIVER RESERVOIR,GREENHOOD,2004,476
KANSAS,JOHN REDMOND RESERVOIR,COFFEY LYON,2005,476
KANSAS,KANOPOLIS RESERVOIR,ELLSUORIH,2006,476
KANSAS,MARION RESERVOIR,MARION,2007,476
KANSAS,MELVERN RESERVOIR,OSAGE,2008,476
KANSAS,MILFORD RESERVOIR,CLAY GEARY,2009,476
KANSAS,NORTON RESERVOIR,NORTON,2010,476
KANSAS,PERRY RESERVOIR,JEFFERSON,2011,476
KANSAS,POMONA RESERVOIR,NA,2012,476
KANSAS,TORONTO RESERVOIR,GREENHOOD HOODSON,2013,476
KANSAS,TUTTLE CREEK RESERVOIR,MARSHALL POTTARATOMIE RILEY,2014,476
KANSAS,WILSON RESERVOIR,RUSSELL,2015,476
LOUISIANA,ANACOCO LAKE,VERNON,2201,476
LOUISIANA,LAKE HISTINEAU,BIENVILLEI ROSSIER HEBSTER,2203,476
LOUISIANA,BLACK BAYOU RESERVOIR,rADDD,2204,476
LOUISIANA,BLACK LAKE,NATCHITOCHES RED RIVER,2219,476
LOUISIANA,BRUIN LAKE,TENSAS,2202,476
LOUISIANA,BUNDICK LAKE,REAUREGARO,2205,476
LOUISIANA,COCODRIE LAKE,CONCORUIA,2207,476
LOUISIANA,COCODRIE LAKE,RAPIDES,2220,476
LOUISIANA,LAKE CONCORDIA,CONCORDIA,2209,476
LOUISIANA,COTILE RESERVOIR,RAPIDES,2208,476
LOUISIANA,CROSS LAKE,CADDO,2210,476
LOUISIANA,BAYOU Dƒ??ARRONNE LAKE,UNION?¯ LINCOLN,2211,476
LOUISIANA,FALSE RIVER LAKE,POINTE COUPEE,2212,476
LOUISIANA,INDIAN CREEK RESERVOIR,RAPTOES,2213,476
LOUISIANA,SALINE LAKF,LASALLE,2214,476
LOUISIANA,TURKEY CREEK LAKE,FRANKLIN,2215,476
LOUISIANA,LAKE VERRET,ASSUMPTION,2216,476
LOUISIANA,LAKE VERNON,VERNON,2217,476
MISSOURI,CLEARWATER LAKE,REYNOLDS uAYNE,2901,476
MISSOURI,POMME DE TERRE RESERVOIR,POLK HICKORY,2902,476
MISSOURI,STOCKTON RESERVOIR,NA,2903,476
MISSOURI,THOMAS HILL RESERVOIR,MACON RANDOLPH,2905,476
MISSOURI,LAKE WAPPAPELLO,WAYNE 9 BUTLER,2906,476
NEBRASKA,BRANCHED OAK RESERVOIR,LANCASTER,3101,476
NEBRASKA,HARLAN COUNTY RESERVOIR,HARLAN,3102,476
NEBRASKA,HARRY D STRUNK RES,FRONTIER,3103,476
NEBRASKA,HUGH BUTLER RESERVOIR,FRONTIFRcRED HILLOH,3104,476
NEBRASKA,JOHNSON RESERVOIR,DARSONGOSPER,3105,476
NEBRASKA,CW MCCONAUGHY RES,KEITH,3106,476
NEBRASKA,PAWNEE RESERVOIR,LANCASTER,3107,476
NEBRASKA,SHERMAN RESERVOIR,SHERHAN,3108,476
NEBRASKA,SWANSON RESERVOIR,HITCHCOCK,3110,476
NORTH DAKOTA,LAKE ASHTABULA,0ARNE5ORIGGS,3801,476
NORTH DAKOTA,AUDUBON LAKE,MCLEAN,3802,476
NORTH DAKOTA,BRUSH LAKE,MCLEAN,3803,476
NORTH DAKOTA,LAKE DARLING,RENVILLEoHARD,3804,476
NORTH DAKOTA,DEVILS LAKE,BENSONoRAHSEY,3805,476
NORTH DAKOTA,JAMESTOWN RESERVOIR,NA,3806,476
NORTH DAKOTA,LAKE LAMOURE,LAMOURE,3807,476
NORTH DAKOTA,MATEJCEK LAKE,UALSH,3808,476
NORTH DAKOTA,LAKE METIGOSHE,BOITINEAU,3809,476
NORTH DAKOTA,PELICAN LAKE,ROTIINEAU,3811,476
NORTH DAKOTA,LANE SAKAKAWEA,DUNNHCNENzIEHCLEANHERCERMOUNTRAILHILLIAHS,3812,476
NORTH DAKOTA,SPIRITWOOD LAKE,STUTSMAN,3813,476
NORTH DAKOTA,SWEET BRIAR LAKE,MORTON,3814,476
NORTH DAKOTA,WHITMAN LAKE,NELSONHALSH,3815,476
OKLAHOMA,ALTUS RESERVOIR,GREER KIOMA,4001,476
OKLAHOMA,ARBUCKLE LAKE,MURRAY,4002,476
OKLAHOMA,LAKE ELSWORTH,CADDO COMANCHE,4003,476
OKLAHOMA,LAKE EUFAULA,HASKELL MCINTOSH OKMULGEEo PITTSBURG,4004,476
OKLAHOMA,FORT COBB RESERVOIR,NA,4005,476
OKLAHOMA,FORT SUPPLY RESERVOIR,MOODuARO,4006,476
OKLAHOMA,FOSS RESERVOIR,CUSTER,4007,476
OKLAHOMA,LAKE FRANCES,AOAIR,4008,476
OKLAHOMA,GRND LK Oƒ?? THE CHEROKEES,HAYES DELAWARE CRAIG OTTONA,4009,476
OKLAHOMA,LAKE HEFNER,OKLAHOMA,4010,476
OKLAHOMA,KEYSTONE RESERVOIR,TULSA OSAGEO CREEK PAUNEE,4011,476
OKLAHOMA,OOLOGAH RESERVOIR,NONATA ROGERS,4012,476
OKLAHOMA,TENKILLER FERRY RES,CHEROKEE SEOUOYAR,4013,476
OKLAHOMA,LAKE THUNDERBIRD,CLEVELAND,4014,476
OKLAHOMA,WISTER RESERVOIR,LEFLORE,4015,476
SOUTH DAKOTA,LAKE ALBERT,KINGSBURY,4601,476
SOUTH DAKOTA,LAKE ALVIN,LINCOLN,4602,476
SOUTH DAKOTA,ANGOSTURA RESERVOIR,FALL RIVER,4603,476
SOUTH DAKOTA,BRANT LAKE,LAKE,4604,476
SOUTH DAKOTA,LAKE BYRON,NA,4605,476
SOUTH DAKOTA,CLEAR LAKE,MARSHALL,4606,476
SOUTH DAKOTA,CLEAR LAKE,MINNEHAHA,4607,476
SOUTH DAKOTA,LAKE COCHRANE,DEUEL,4608,476
SOUTH DAKOTA,COTTONWOOD LAKE,NA,4609,476
SOUTH DAKOTA,DEERFIELD LAKE,PENNINGTON,4610,476
SOUTH DAKOTA,ENEMY SWIM LAKE,DAY,4611,476
SOUTH DAKOTA,LAKE HERMAN,LAKE,4612,476
SOUTH DAKOTA,LAKE ST. JOHN,HAMLIN,4613,476
SOUTH DAKOTA,LAME KAMPESKA,CODINGTDN,4614,476
SOUTH DAKOTA,LAKE MADISON,LAKE,4615,476
SOUTH DAKOTA,LAKE MITCHELL,DAVISON,4616,476
SOUTH DAKOTA,LAKE NORDEN,HAMLIN,4617,476
SOUTH DAKOTA,EAST OAKWOOD LAKE,RROOKINGS,4618,476
SOUTH DAKOTA,WEST OAKWOOD LAKE,RROONINGS,4619,476
SOUTH DAKOTA,PACTOLA RESERVOIR,PENNINGTON,4620,476
SOUTH DAKOTA,PICKEREL LAKE,DAY,4621,476
SOUTH DAKOTA,LAKE POINSETT,HROOKINGboHAMLIN,4622,476
SOUTH DAKOTA,SOUTH RED IRON LAKE,MARSHALL,4623,476
SOUTH DAKOTA,RICHMOND LAKE,RROMN,4624,476
SOUTH DAKOTA,ROY LAKE,MARSHALL,4625,476
SOUTH DAKOTA,SAND LAKE,NA,4626,476
SOUTH DAKOTA,SHERIDAN LAKE,PENNINGTON,4627,476
SOUTH DAKOTA,STOCKADE LAKE,CUSTER,4628,476
SOUTH DAKOTA,EAST VERMILLION LAKE,MCCOOK,4629,476
SOUTH DAKOTA,WALL LAKE,HINNEHAHA,4630,476
SOUTH DAKOTA,NORTH WAUBAY LAKE,DAY,4631,476
TEXAS,AMISTAD RESERVOIR,NA,4801,476
TEXAS,LAKE BASTROP,BASTROP,4802,476
TEXAS,BELTON RESERVOIR,HELL CURYELL,4803,476
TEXAS,BRAUNIG LAKE,BEXAR,4804,476
TEXAS,LAKE BROWNWOOD,RROHN,4805,476
TEXAS,LAKE BUCHANAN,HURNET LLANO,4806,476
